state,total_hospital_beds,total_icu_beds,hospital_bed_occupancy_rate,icu_bed_occupancy_rate,available_hospital_beds,potentially_available_hospital_beds,available_icu_beds,potentially_available_icu_beds,adult_population,population_65,projected_infected_individuals,proejcted_hospitalized_individuals,projected_individuals_needing_icu_care,hospital_beds_needed_six_months,percentage_of_available_beds_needed_six_months,percentage_of_potentially_available_beds_needed_six_months,percentage_of_total_beds_needed_six_months,hospital_beds_needed_twelve_months,percentage_of_available_beds_needed_twelve_months,percentage_of_potentially_available_beds_needed_twelve_months,percentage_of_total_beds_needed_twelve_months,hospital_beds_needed_eighteen_months,percentage_of_available_beds_needed_eighteen_months,percentage_of_potentially_available_beds_needed_eighteen_months,percentage_of_total_beds_needed_eighteen_months,icu_beds_needed_six_months,percentage_of_available_icu_beds_needed_six_months,percentage_of_potentially_available_icu_beds_needed_six_months,percentage_of_total_icu_beds_needed_six_months,icu_beds_needed_twelve_months,percentage_of_available_icu_beds_needed_twelve_months,percentage_of_potentially_available_icu_beds_needed_twelve_months,percentage_of_total_icu_beds_needed_twelve_months,icu_beds_needed_eighteen_months,percentage_of_available_icu_beds_needed_eighteen_months,percentage_of_potentially_available_icu_beds_needed_eighteen_months,percentage_of_total_icu_beds_needed_eighteen_months
AK,1583,130,0.66,0.58,533,1058,55,93,552319,74340,331391,67202,13976,4480,8.41,4.23,2.83,2240,4.2,2.12,1.42,1461,2.74,1.38,0.92,932,16.95,10.02,7.17,466,8.47,5.01,3.58,304,5.53,3.27,2.34
AL,13959,1870,0.64,0.68,4994,9476,606,1238,3748089,762032,2248853,470718,101816,31381,6.28,3.31,2.25,15691,3.14,1.66,1.12,10233,2.05,1.08,0.73,6788,11.2,5.48,3.63,3394,5.6,2.74,1.81,2213,3.65,1.79,1.18
AR,8428,856,0.52,0.58,4069,6248,362,609,2272226,476167,1363336,286175,62109,19078,4.69,3.05,2.26,9539,2.34,1.53,1.13,6221,1.53,1,0.74,4141,11.44,6.8,4.84,2070,5.72,3.4,2.42,1350,3.73,2.22,1.58
AZ,12868,1742,0.62,0.53,4938,8903,814,1278,5187520,1106362,3112512,654440,142316,43629,8.84,4.9,3.39,21815,4.42,2.45,1.7,14227,2.88,1.6,1.11,9488,11.66,7.42,5.45,4744,5.83,3.71,2.72,3094,3.8,2.42,1.78
CA,68554,8131,0.67,0.58,22831,45692,3381,5756,29868127,5148448,17920876,3698428,786338,246562,10.8,5.4,3.6,123281,5.4,2.7,1.8,80401,3.52,1.76,1.17,52423,15.51,9.11,6.45,26211,7.75,4.55,3.22,17094,5.06,2.97,2.1
CO,9620,1264,0.58,0.6,4033,6826,500,882,4185186,707396,2511112,517433,109804,34496,8.55,5.05,3.59,17248,4.28,2.53,1.79,11249,2.79,1.65,1.17,7320,14.64,8.3,5.79,3660,7.32,4.15,2.9,2387,4.77,2.71,1.89
CT,6894,731,0.76,0.61,1643,4269,285,508,2831746,575757,1699048,355637,76924,23709,14.43,5.55,3.44,11855,7.22,2.78,1.72,7731,4.71,1.81,1.12,5128,17.99,10.09,7.02,2564,9,5.05,3.51,1672,5.87,3.29,2.29
DC,2405,401,0.72,0.6,671,1538,159,280,554333,79769,332600,67741,14167,4516,6.73,2.94,1.88,2258,3.37,1.47,0.94,1473,2.2,0.96,0.61,944,5.94,3.37,2.35,472,2.97,1.69,1.18,308,1.94,1.1,0.77
DE,1864,249,0.72,0.75,516,1190,63,156,739679,160565,443807,93476,20369,6232,12.08,5.24,3.34,3116,6.04,2.62,1.67,2032,3.94,1.71,1.09,1358,21.56,8.71,5.45,679,10.78,4.35,2.73,443,7.03,2.84,1.78
FL,51190,6226,0.66,0.67,17651,34421,2044,4135,16166865,3926889,9700119,2066855,456495,137790,7.81,4,2.69,68895,3.9,2,1.35,44932,2.55,1.31,0.88,30433,14.89,7.36,4.89,15216,7.44,3.68,2.44,9924,4.86,2.4,1.59
