state,total_hospital_beds,total_icu_beds,hospital_bed_occupancy_rate,icu_bed_occupancy_rate,available_hospital_beds,potentially_available_hospital_beds,available_icu_beds,potentially_available_icu_beds,adult_population,population_65,projected_infected_individuals,proejcted_hospitalized_individuals,projected_individuals_needing_icu_care,hospital_beds_needed_six_months,percentage_of_available_beds_needed_six_months,percentage_of_potentially_available_beds_needed_six_months,percentage_of_total_beds_needed_six_months,hospital_beds_needed_twelve_months,percentage_of_available_beds_needed_twelve_months,percentage_of_potentially_available_beds_needed_twelve_months,percentage_of_total_beds_needed_twelve_months,hospital_beds_needed_eighteen_months,percentage_of_available_beds_needed_eighteen_months,percentage_of_potentially_available_beds_needed_eighteen_months,percentage_of_total_beds_needed_eighteen_months,icu_beds_needed_six_months,percentage_of_available_icu_beds_needed_six_months,percentage_of_potentially_available_icu_beds_needed_six_months,percentage_of_total_icu_beds_needed_six_months,icu_beds_needed_twelve_months,percentage_of_available_icu_beds_needed_twelve_months,percentage_of_potentially_available_icu_beds_needed_twelve_months,percentage_of_total_icu_beds_needed_twelve_months,icu_beds_needed_eighteen_months,percentage_of_available_icu_beds_needed_eighteen_months,percentage_of_potentially_available_icu_beds_needed_eighteen_months,percentage_of_total_icu_beds_needed_eighteen_months
GA,23831,2703,0.7,0.72,7210,15520,752,1728,7702432,1300430,4621459,952202,202044,63480,8.8,4.09,2.66,31740,4.4,2.05,1.33,20700,2.87,1.33,0.87,13470,17.91,7.8,4.98,6735,8.96,3.9,2.49,4392,5.84,2.54,1.62
HI,2623,219,0.7,0.67,795,1709,73,146,1114075,238126,668445,140578,30578,9372,11.79,5.48,3.57,4686,5.89,2.74,1.79,3056,3.84,1.79,1.17,2039,27.93,13.97,9.31,1019,13.96,6.98,4.65,665,9.11,4.55,3.04
IA,9309,622,0.56,0.53,4100,6705,293,458,2389398,501026,1433639,300950,65320,20063,4.89,2.99,2.16,10032,2.45,1.5,1.08,6542,1.6,0.98,0.7,4355,14.86,9.51,7,2177,7.43,4.75,3.5,1420,4.85,3.1,2.28
ID,3267,333,0.51,0.53,1607,2437,155,244,1222764,242449,733658,153215,33049,10214,6.36,4.19,3.13,5107,3.18,2.1,1.56,3331,2.07,1.37,1.02,2203,14.21,9.03,6.62,1102,7.11,4.52,3.31,718,4.63,2.94,2.16
IL,30006,3426,0.58,0.59,12580,21293,1410,2418,9895529,1847932,5937317,1233422,264370,82228,6.54,3.86,2.74,41114,3.27,1.93,1.37,26814,2.13,1.26,0.89,17625,12.5,7.29,5.14,8812,6.25,3.64,2.57,5747,4.08,2.38,1.68
IN,17433,2358,0.56,0.59,7685,12559,974,1666,5036563,968568,3021938,629377,135316,41958,5.46,3.34,2.41,20979,2.73,1.67,1.2,13682,1.78,1.09,0.78,9021,9.26,5.41,3.83,4511,4.63,2.71,1.91,2942,3.02,1.77,1.25
KS,9120,878,0.53,0.55,4310,6715,391,634,2185546,426273,1311328,273450,58880,18230,4.23,2.71,2,9115,2.11,1.36,1,5945,1.38,0.89,0.65,3925,10.04,6.19,4.47,1963,5.02,3.1,2.24,1280,3.27,2.02,1.46
KY,13150,1447,0.6,0.65,5291,9220,504,976,3411784,672706,2047070,427288,92113,28486,5.38,3.09,2.17,14243,2.69,1.54,1.08,9289,1.76,1.01,0.71,6141,12.18,6.29,4.24,3070,6.09,3.15,2.12,2002,3.97,2.05,1.38
LA,13881,1518,0.57,0.58,5990,9936,632,1075,3550728,655848,2130437,442166,94666,29478,4.92,2.97,2.12,14739,2.46,1.48,1.06,9612,1.6,0.97,0.69,6311,9.99,5.87,4.16,3156,4.99,2.94,2.08,2058,3.26,1.91,1.36
MA,13759,1555,0.74,0.63,3603,8681,571,1063,5405787,1049751,3243472,676095,145511,45073,12.51,5.19,3.28,22536,6.25,2.6,1.64,14698,4.08,1.69,1.07,9701,16.99,9.13,6.24,4850,8.49,4.56,3.12,3163,5.54,2.98,2.03
MD,11249,1227,0.71,0.66,3296,7273,422,825,4648466,849185,2789080,578329,123677,38555,11.7,5.3,3.43,19278,5.85,2.65,1.71,12572,3.81,1.73,1.12,8245,19.54,9.99,6.72,4123,9.77,5,3.36,2689,6.37,3.26,2.19
ME,3310,288,0.7,0.63,980,2145,107,198,1073331,250131,643999,136617,30021,9108,9.29,4.25,2.75,4554,4.65,2.12,1.38,2970,3.03,1.38,0.9,2001,18.7,10.11,6.95,1001,9.36,5.06,3.48,653,6.1,3.3,2.27
MI,24286,2749,0.64,0.64,8855,16571,976,1863,7717047,1575233,4630228,969532,209801,64635,7.3,3.9,2.66,32318,3.65,1.95,1.33,21077,2.38,1.27,0.87,13987,14.33,7.51,5.09,6993,7.16,3.75,2.54,4561,4.67,2.45,1.66
MN,13423,1277,0.66,0.65,4605,9014,452,864,4204388,803718,2522633,525112,112828,35007,7.6,3.88,2.61,17504,3.8,1.94,1.3,11415,2.48,1.27,0.85,7522,16.64,8.71,5.89,3761,8.32,4.35,2.95,2453,5.43,2.84,1.92
MO,17087,2092,0.6,0.58,6884,11985,874,1483,4685891,956032,2811535,588685,127381,39246,5.7,3.27,2.3,19623,2.85,1.64,1.15,12798,1.86,1.07,0.75,8492,9.72,5.73,4.06,4246,4.86,2.86,2.03,2769,3.17,1.87,1.32
MS,11877,931,0.56,0.58,5255,8566,392,661,2259919,437027,1355951,282541,60782,18836,3.58,2.2,1.59,9418,1.79,1.1,0.79,6142,1.17,0.72,0.52,4052,10.34,6.13,4.35,2026,5.17,3.07,2.18,1321,3.37,2,1.42
MT,3667,248,0.58,0.55,1541,2604,113,180,803704,176138,482222,101662,22177,6777,4.4,2.6,1.85,3389,2.2,1.3,0.92,2210,1.43,0.85,0.6,1478,13.08,8.21,5.96,739,6.54,4.11,2.98,482,4.27,2.68,1.94
NC,21065,3168,0.7,0.71,6288,13676,911,2040,7762882,1514937,4657729,971320,209161,64755,10.3,4.73,3.07,32377,5.15,2.37,1.54,21116,3.36,1.54,1,13944,15.31,6.84,4.4,6972,7.65,3.42,2.2,4547,4.99,2.23,1.44
ND,3371,278,0.58,0.66,1420,2395,95,187,575105,107196,345063,71672,15359,4778,3.36,1.99,1.42,2389,1.68,1,0.71,1558,1.1,0.65,0.46,1024,10.78,5.48,3.68,512,5.39,2.74,1.84,334,3.52,1.79,1.2
NE,5872,548,0.55,0.63,2630,4251,202,375,1424102,278598,854461,178228,38389,11882,4.52,2.8,2.02,5941,2.26,1.4,1.01,3875,1.47,0.91,0.66,2559,12.67,6.82,4.67,1280,6.34,3.41,2.34,835,4.13,2.23,1.52
NH,2598,252,0.64,0.56,939,1768,110,181,1067991,219293,640795,134251,29070,8950,9.53,5.06,3.44,4475,4.77,2.53,1.72,2918,3.11,1.65,1.12,1938,17.62,10.71,7.69,969,8.81,5.35,3.85,632,5.75,3.49,2.51
NJ,20450,1891,0.67,0.55,6688,13569,846,1368,6960340,1353999,4176204,870657,187420,58044,8.68,4.28,2.84,29022,4.34,2.14,1.42,18927,2.83,1.39,0.93,12495,14.77,9.13,6.61,6247,7.38,4.57,3.3,4074,4.82,2.98,2.15
NM,3460,460,0.6,0.59,1368,2414,188,324,1587101,328682,952261,199664,43276,13311,9.73,5.51,3.85,6655,4.86,2.76,1.92,4341,3.17,1.8,1.25,2885,15.35,8.9,6.27,1443,7.68,4.45,3.14,941,5.01,2.9,2.05
NV,5610,1118,0.72,0.78,1548,3579,248,683,2217723,420330,1330634,276779,59416,18452,11.92,5.16,3.29,9226,5.96,2.58,1.64,6017,3.89,1.68,1.07,3961,15.97,5.8,3.54,1981,7.99,2.9,1.77,1292,5.21,1.89,1.16
NY,51713,4420,0.78,0.62,11549,31631,1670,3045,15594924,3008351,9356954,1949297,419237,129953,11.25,4.11,2.51,64977,5.63,2.05,1.26,42376,3.67,1.34,0.82,27949,16.74,9.18,6.32,13975,8.37,4.59,3.16,9114,5.46,2.99,2.06
OH,28127,3622,0.59,0.64,11419,19773,1297,2459,8982588,1844642,5389553,1129160,244507,75277,6.59,3.81,2.68,37639,3.3,1.9,1.34,24547,2.15,1.24,0.87,16300,12.57,6.63,4.5,8150,6.28,3.31,2.25,5315,4.1,2.16,1.47
OK,10781,1164,0.56,0.63,4786,7783,427,796,2939976,574330,1763986,367894,79230,24526,5.12,3.15,2.27,12263,2.56,1.58,1.14,7998,1.67,1.03,0.74,5282,12.37,6.64,4.54,2641,6.19,3.32,2.27,1722,4.03,2.16,1.48
OR,6789,837,0.63,0.6,2483,4636,336,587,3160871,655089,1896523,397679,86201,26512,10.68,5.72,3.91,13256,5.34,2.86,1.95,8645,3.48,1.86,1.27,5747,17.1,9.79,6.87,2873,8.55,4.89,3.43,1874,5.58,3.19,2.24
PA,32817,3643,0.64,0.61,11721,22269,1427,2535,10101588,2181022,6060953,1275899,277852,85060,7.26,3.82,2.59,42530,3.63,1.91,1.3,27737,2.37,1.25,0.85,18523,12.98,7.31,5.08,9262,6.49,3.65,2.54,6040,4.23,2.38,1.66
PR,7769,739,0.57,0.64,3355,5562,262,501,2737636,629621,1642582,347979,76344,23199,6.91,4.17,2.99,11599,3.46,2.09,1.49,7565,2.25,1.36,0.97,5090,19.43,10.16,6.89,2545,9.71,5.08,3.44,1660,6.34,3.31,2.25
RI,2117,279,0.7,0.72,644,1381,77,178,845556,170144,507334,106092,22921,7073,10.98,5.12,3.34,3536,5.49,2.56,1.67,2306,3.58,1.67,1.09,1528,19.84,8.58,5.48,764,9.92,4.29,2.74,498,6.47,2.8,1.78
SC,11457,1459,0.65,0.68,4066,7762,469,964,3802489,795256,2281493,478813,103893,31921,7.85,4.11,2.79,15960,3.93,2.06,1.39,10409,2.56,1.34,0.91,6926,14.77,7.18,4.75,3463,7.38,3.59,2.37,2259,4.82,2.34,1.55
SD,4247,150,0.61,0.5,1663,2955,75,112,644483,132118,386690,81002,17537,5400,3.25,1.83,1.27,2700,1.62,0.91,0.64,1761,1.06,0.6,0.41,1169,15.59,10.44,7.79,585,7.8,5.22,3.9,381,5.08,3.4,2.54
TN,18401,2309,0.63,0.74,6723,12562,603,1456,5099734,1013356,3059840,639131,137897,42609,6.34,3.39,2.32,21304,3.17,1.7,1.16,13894,2.07,1.11,0.76,9193,15.25,6.31,3.98,4597,7.62,3.16,1.99,2998,4.97,2.06,1.3
TX,55588,7149,0.61,0.64,21803,38695,2573,4861,20206495,3215906,12123897,2486847,524743,165790,7.6,4.28,2.98,82895,3.8,2.14,1.49,54062,2.48,1.4,0.97,34983,13.6,7.2,4.89,17491,6.8,3.6,2.45,11407,4.43,2.35,1.6
UT,4869,687,0.57,0.52,2116,3493,328,507,2082530,307095,1249518,254913,53422,16994,8.03,4.87,3.49,8497,4.02,2.43,1.75,5542,2.62,1.59,1.14,3561,10.86,7.02,5.18,1781,5.43,3.51,2.59,1161,3.54,2.29,1.69
VA,17469,2007,0.69,0.65,5373,11421,698,1353,6499678,1187867,3899807,808672,172945,53911,10.03,4.72,3.09,26956,5.02,2.36,1.54,17580,3.27,1.54,1.01,11530,16.52,8.52,5.74,5765,8.26,4.26,2.87,3760,5.39,2.78,1.87
VT,1305,94,0.64,0.45,475,890,52,73,504856,109551,302914,63798,13901,4253,8.95,4.78,3.26,2127,4.48,2.39,1.63,1387,2.92,1.56,1.06,927,17.83,12.7,9.86,463,8.9,6.34,4.93,302,5.81,4.14,3.21
WA,11808,1493,0.65,0.65,4123,7966,525,1009,5554591,1029040,3332755,691879,148174,46125,11.19,5.79,3.91,23063,5.59,2.9,1.95,15041,3.65,1.89,1.27,9878,18.82,9.79,6.62,4939,9.41,4.89,3.31,3221,6.14,3.19,2.16
WI,11669,1506,0.58,0.55,4850,8260,676,1091,4469267,896724,2681560,560610,121083,37374,7.71,4.52,3.2,18687,3.85,2.26,1.6,12187,2.51,1.48,1.04,8072,11.94,7.4,5.36,4036,5.97,3.7,2.68,2632,3.89,2.41,1.75
WV,6224,643,0.6,0.65,2466,4345,223,433,1459974,336326,875984,185608,40729,12374,5.02,2.85,1.99,6187,2.51,1.42,0.99,4035,1.64,0.93,0.65,2715,12.17,6.27,4.22,1358,6.09,3.14,2.11,885,3.97,2.04,1.38
WY,1951,102,0.52,0.36,931,1441,65,84,444842,84239,266905,55514,11916,3701,3.98,2.57,1.9,1850,1.99,1.28,0.95,1207,1.3,0.84,0.62,794,12.22,9.45,7.78,397,6.11,4.73,3.89,259,3.98,3.08,2.54
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*Based on a 50% reduction in occupancy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
