region_type,country,percent_yoy_change,date
countries,Mexico,-62,2020-03-17
countries,Mexico,-73,2020-03-18
countries,Mexico,-78,2020-03-19
countries,Mexico,-85,2020-03-20
countries,Mexico,-91,2020-03-21
countries,Mexico,-95,2020-03-22
countries,Mexico,-95,2020-03-23
countries,Mexico,-96,2020-03-24
countries,Mexico,-97,2020-03-25
countries,Mexico,-97,2020-03-26
countries,Mexico,-97,2020-03-27
countries,Mexico,-97,2020-03-28
countries,Mexico,-99,2020-03-29
countries,Mexico,-98,2020-03-30
countries,United Kingdom,1,2020-02-18
countries,United Kingdom,-1,2020-02-19
countries,United Kingdom,-2,2020-02-20
countries,United Kingdom,0,2020-02-21
countries,United Kingdom,-1,2020-02-22
countries,United Kingdom,-4,2020-02-23
countries,United Kingdom,-6,2020-02-24
countries,United Kingdom,-5,2020-02-25
countries,United Kingdom,-5,2020-02-26
countries,United Kingdom,-8,2020-02-27
countries,United Kingdom,-2,2020-02-28
countries,United Kingdom,-3,2020-02-29
countries,United Kingdom,-2,2020-03-01
countries,United Kingdom,-7,2020-03-02
countries,United Kingdom,-11,2020-03-03
countries,United Kingdom,-9,2020-03-04
countries,United Kingdom,-12,2020-03-05
countries,United Kingdom,-5,2020-03-06
countries,United Kingdom,-3,2020-03-07
countries,United Kingdom,1,2020-03-08
countries,United Kingdom,-18,2020-03-09
countries,United Kingdom,-17,2020-03-10
countries,United Kingdom,-14,2020-03-11
countries,United Kingdom,-24,2020-03-12
countries,United Kingdom,-26,2020-03-13
countries,United Kingdom,-20,2020-03-14
countries,United Kingdom,-31,2020-03-15
countries,United Kingdom,-52,2020-03-16
countries,United Kingdom,-82,2020-03-17
countries,United Kingdom,-88,2020-03-18
countries,United Kingdom,-91,2020-03-19
countries,United Kingdom,-94,2020-03-20
countries,United Kingdom,-100,2020-03-21
countries,United Kingdom,-100,2020-03-22
countries,United Kingdom,-100,2020-03-23
countries,United Kingdom,-100,2020-03-24
countries,United Kingdom,-100,2020-03-25
countries,United Kingdom,-100,2020-03-26
countries,United Kingdom,-100,2020-03-27
countries,United Kingdom,-100,2020-03-28
countries,United Kingdom,-100,2020-03-29
countries,United Kingdom,-100,2020-03-30
countries,United States,0,2020-02-18
countries,United States,4,2020-02-19
countries,United States,0,2020-02-20
countries,United States,-1,2020-02-21
countries,United States,2,2020-02-22
countries,United States,6,2020-02-23
countries,United States,2,2020-02-24
countries,United States,2,2020-02-25
countries,United States,-1,2020-02-26
countries,United States,-1,2020-02-27
countries,United States,1,2020-02-28
countries,United States,3,2020-02-29
countries,United States,2,2020-03-01
countries,United States,-7,2020-03-02
